[2025-03-18 07:17:37] [sendEmail.php:38] sending
[2025-03-18 07:33:51] [sendEmail.php:40] sending11
[2025-03-18 07:33:51] [sendEmail.php:42] sending12
[2025-03-18 07:33:51] [sendEmail.php:44] sending
[2025-03-18 07:35:12] [sendEmail.php:40] sending11
[2025-03-18 07:35:12] [sendEmail.php:44] sending12
[2025-03-18 07:35:12] [sendEmail.php:46] sending
[2025-03-18 07:40:56] [sendEmail.php:40] sending11
[2025-03-18 07:40:56] [sendEmail.php:44] sending12
[2025-03-18 07:40:56] [sendEmail.php:46] sending
[2025-03-18 07:41:30] [sendEmail.php:40] sending11
[2025-03-18 07:41:30] [sendEmail.php:44] sending12
[2025-03-18 07:41:30] [sendEmail.php:46] sending
[2025-03-18 07:44:02] [sendEmail.php:40] sending11
[2025-03-18 07:44:02] [sendEmail.php:45] sending12
[2025-03-18 07:44:02] [sendEmail.php:47] sending
[2025-03-18 07:46:00] [sendEmail.php:40] sending11
[2025-03-18 07:46:06] [sendEmail.php:48] sending12
[2025-03-18 07:46:06] [sendEmail.php:50] sending
[2025-03-18 07:46:51] [sendEmail.php:40] sending11
[2025-03-18 10:06:45] [sendSingleBackgroundMail.php:64] No pending emails
